,cleaned_label,description,domain,id,range,superproperty
435,cmyk coordinate magenta,,['http://dbpedia.org/ontology/Colour'],http://dbpedia.org/ontology/cmykCoordinateMagenta,['http://www.w3.org/2001/XMLSchema#integer'],
436,cmyk coordinate yellow,,['http://dbpedia.org/ontology/Colour'],http://dbpedia.org/ontology/cmykCoordinateYellow,['http://www.w3.org/2001/XMLSchema#integer'],
437,co executive producer,,['http://dbpedia.org/ontology/TelevisionShow'],http://dbpedia.org/ontology/coExecutiveProducer,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
438,co producer,,['http://dbpedia.org/ontology/TelevisionShow'],http://dbpedia.org/ontology/coProducer,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
439,co2 emission,,['http://dbpedia.org/ontology/AutomobileEngine'],http://dbpedia.org/ontology/co2Emission,['http://www.w3.org/2001/XMLSchema#double'],
440,coach,,,http://dbpedia.org/ontology/coach,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
441,coach club,,['http://dbpedia.org/ontology/Athlete'],http://dbpedia.org/ontology/coachClub,['http://dbpedia.org/ontology/SportsTeam'],
442,coach season,,['http://dbpedia.org/ontology/Athlete'],http://dbpedia.org/ontology/coachSeason,['http://www.w3.org/2001/XMLSchema#string'],
443,coached team,,,http://dbpedia.org/ontology/coachedTeam,['http://dbpedia.org/ontology/SportsTeam'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
444,coaching record,,['http://dbpedia.org/ontology/CollegeCoach'],http://dbpedia.org/ontology/coachingRecord,['http://www.w3.org/2001/XMLSchema#string'],
445,coalition,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/coalition,['http://www.w3.org/2001/XMLSchema#string'],
446,coast length,,['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/coastLength,['http://www.w3.org/2001/XMLSchema#float'],
447,coast line,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/coastLine,['http://www.w3.org/2001/XMLSchema#double'],
448,coat of arms,image of the coat of arms (heraldic symbol),,http://dbpedia.org/ontology/coatOfArms,,
449,code,"Superproperty for any designation (string, integer as string) that is meant to identify an entity within the context of a system",,http://dbpedia.org/ontology/code,['http://www.w3.org/2001/XMLSchema#string'],
450,code book,code book or statute book referred to in this legal case,['http://dbpedia.org/ontology/LegalCase'],http://dbpedia.org/ontology/codeBook,['http://www.w3.org/2001/XMLSchema#string'],
451,code district,,['http://dbpedia.org/ontology/CityDistrict'],http://dbpedia.org/ontology/codeDistrict,['http://www.w3.org/2001/XMLSchema#string'],
452,code index,,['http://dbpedia.org/ontology/MemberResistanceMovement'],http://dbpedia.org/ontology/codeIndex,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
453,code list of honour,,['http://dbpedia.org/ontology/MemberResistanceMovement'],http://dbpedia.org/ontology/codeListOfHonour,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
454,code memorial,Identifier for monuments of the Memorial type,['http://dbpedia.org/ontology/Memorial'],http://dbpedia.org/ontology/codeMemorial,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/Code']
455,code municipal monument,"Code assigned to (Dutch) monuments at the municipal level, deemed to be of local value",['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/codeMunicipalMonument,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
456,code national monument,"Code assigned to (Dutch) monuments at the national level, deemed to be of national value",['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/codeNationalMonument,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
457,code provincial monument,"Code assigned to (Dutch) monuments at the provincial level, mostly for monuments in the countryside, or for waterworks",['http://dbpedia.org/ontology/Place'],http://dbpedia.org/ontology/codeProvincialMonument,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
458,code settlement,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/codeSettlement,['http://www.w3.org/2001/XMLSchema#string'],
459,code stock exchange,,['http://dbpedia.org/ontology/Company'],http://dbpedia.org/ontology/codeStockExchange,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
460,coden,"CODEN is a six character, alphanumeric bibliographic code, that provides concise, unique and unambiguous identification of the titles of serials and non-serial publications from all subject areas.",['http://dbpedia.org/ontology/WrittenWork'],http://dbpedia.org/ontology/coden,['http://www.w3.org/2001/XMLSchema#string'],
461,coemperor,,['http://dbpedia.org/ontology/Monarch'],http://dbpedia.org/ontology/coemperor,['http://dbpedia.org/ontology/Monarch'],
462,collaboration,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/collaboration,['http://dbpedia.org/ontology/Person'],
463,colleague,"Colleague of a Person or OfficeHolder (not PersonFunction nor CareerStation). Sub-properties include: president, vicePresident, chancellor, viceChancellor, governor, lieutenant. Points to a Person who may have a general ""position"" (resource) or ""title"" (literal).",['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/colleague,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
464,collection,,['http://dbpedia.org/ontology/Museum'],http://dbpedia.org/ontology/collection,['http://www.w3.org/2001/XMLSchema#string'],
465,collection size,,,http://dbpedia.org/ontology/collectionSize,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasRegion']
466,collectivity minority,,['http://dbpedia.org/ontology/Settlement'],http://dbpedia.org/ontology/collectivityMinority,,
467,college,,['http://dbpedia.org/ontology/Person'],http://dbpedia.org/ontology/college,['http://dbpedia.org/ontology/EducationalInstitution'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
468,college hof,,['http://dbpedia.org/ontology/Athlete'],http://dbpedia.org/ontology/collegeHof,['http://www.w3.org/2001/XMLSchema#string'],
469,colonial name,,['http://dbpedia.org/ontology/PopulatedPlace'],http://dbpedia.org/ontology/colonialName,['http://www.w3.org/2001/XMLSchema#string'],
470,color chart,,['http://dbpedia.org/ontology/FictionalCharacter'],http://dbpedia.org/ontology/colorChart,['http://www.w3.org/2001/XMLSchema#string'],
471,colour,A colour represented by its entity.,,http://dbpedia.org/ontology/colour,['http://dbpedia.org/ontology/Colour'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasQuality']
472,colour hex code,A colour represented by its hex code (e.g.: #FF0000 or #40E0D0),,http://dbpedia.org/ontology/colourHexCode,['http://www.w3.org/2001/XMLSchema#string'],['http://dbpedia.org/ontology/code']
473,colour name,A colour represented by a string holding its name (e.g.: red or green).,,http://dbpedia.org/ontology/colourName,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
474,combatant,,['http://dbpedia.org/ontology/MilitaryConflict'],http://dbpedia.org/ontology/combatant,['http://www.w3.org/2001/XMLSchema#string'],
475,comic,,['http://dbpedia.org/ontology/FictionalCharacter'],http://dbpedia.org/ontology/comic,['http://dbpedia.org/ontology/Comic'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs']
476,comitat,,['http://dbpedia.org/ontology/HungarySettlement'],http://dbpedia.org/ontology/comitat,['http://www.w3.org/2001/XMLSchema#string'],
477,command,,['http://dbpedia.org/ontology/MilitaryPerson'],http://dbpedia.org/ontology/command,['http://www.w3.org/2001/XMLSchema#string'],
478,command module,,['http://dbpedia.org/ontology/SpaceMission'],http://dbpedia.org/ontology/commandModule,['http://www.w3.org/2001/XMLSchema#string'],
